group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hailstone_sequence_append_7,,,,,1384900.0,ns,2512
hailstone_sequence_append_7,,,,,2063200.0,ns,5024
hailstone_sequence_append_7,,,,,2759700.0,ns,7536
hailstone_sequence_append_7,,,,,4123800.0,ns,10048
hailstone_sequence_append_7,,,,,5010000.0,ns,12560
hailstone_sequence_append_7,,,,,5974600.0,ns,15072
hailstone_sequence_append_7,,,,,6658500.0,ns,17584
hailstone_sequence_append_7,,,,,8935900.0,ns,20096
hailstone_sequence_append_7,,,,,8958300.0,ns,22608
hailstone_sequence_append_7,,,,,10439200.0,ns,25120
hailstone_sequence_append_7,,,,,11045900.0,ns,27632
hailstone_sequence_append_7,,,,,12415700.0,ns,30144
hailstone_sequence_append_7,,,,,12596100.0,ns,32656
hailstone_sequence_append_7,,,,,14068700.0,ns,35168
hailstone_sequence_append_7,,,,,15291100.0,ns,37680
hailstone_sequence_append_7,,,,,16505600.0,ns,40192
hailstone_sequence_append_7,,,,,17371700.0,ns,42704
hailstone_sequence_append_7,,,,,17361400.0,ns,45216
hailstone_sequence_append_7,,,,,18103600.0,ns,47728
hailstone_sequence_append_7,,,,,19267400.0,ns,50240
hailstone_sequence_append_7,,,,,20912800.0,ns,52752
hailstone_sequence_append_7,,,,,21697400.0,ns,55264
hailstone_sequence_append_7,,,,,22107300.0,ns,57776
hailstone_sequence_append_7,,,,,23754900.0,ns,60288
hailstone_sequence_append_7,,,,,24100600.0,ns,62800
hailstone_sequence_append_7,,,,,26000300.0,ns,65312
hailstone_sequence_append_7,,,,,26659700.0,ns,67824
hailstone_sequence_append_7,,,,,27356000.0,ns,70336
hailstone_sequence_append_7,,,,,28251800.0,ns,72848
hailstone_sequence_append_7,,,,,29554300.0,ns,75360
hailstone_sequence_append_7,,,,,32320600.0,ns,77872
hailstone_sequence_append_7,,,,,30717100.0,ns,80384
hailstone_sequence_append_7,,,,,31725800.0,ns,82896
hailstone_sequence_append_7,,,,,36538400.0,ns,85408
hailstone_sequence_append_7,,,,,35305900.0,ns,87920
hailstone_sequence_append_7,,,,,37598400.0,ns,90432
hailstone_sequence_append_7,,,,,41258800.0,ns,92944
hailstone_sequence_append_7,,,,,52920400.0,ns,95456
