group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hailstone_sequence_prealloc_686901248,,,,,977600.0,ns,954
hailstone_sequence_prealloc_686901248,,,,,1974600.0,ns,1908
hailstone_sequence_prealloc_686901248,,,,,2893300.0,ns,2862
hailstone_sequence_prealloc_686901248,,,,,3922600.0,ns,3816
hailstone_sequence_prealloc_686901248,,,,,4833900.0,ns,4770
hailstone_sequence_prealloc_686901248,,,,,5882700.0,ns,5724
hailstone_sequence_prealloc_686901248,,,,,6974300.0,ns,6678
hailstone_sequence_prealloc_686901248,,,,,7733900.0,ns,7632
hailstone_sequence_prealloc_686901248,,,,,8717300.0,ns,8586
hailstone_sequence_prealloc_686901248,,,,,9802200.0,ns,9540
hailstone_sequence_prealloc_686901248,,,,,10696200.0,ns,10494
hailstone_sequence_prealloc_686901248,,,,,11777200.0,ns,11448
hailstone_sequence_prealloc_686901248,,,,,12675300.0,ns,12402
hailstone_sequence_prealloc_686901248,,,,,13591700.0,ns,13356
hailstone_sequence_prealloc_686901248,,,,,14674200.0,ns,14310
hailstone_sequence_prealloc_686901248,,,,,15594100.0,ns,15264
hailstone_sequence_prealloc_686901248,,,,,16762000.0,ns,16218
hailstone_sequence_prealloc_686901248,,,,,17559000.0,ns,17172
hailstone_sequence_prealloc_686901248,,,,,18504200.0,ns,18126
hailstone_sequence_prealloc_686901248,,,,,19624300.0,ns,19080
hailstone_sequence_prealloc_686901248,,,,,21104700.0,ns,20034
hailstone_sequence_prealloc_686901248,,,,,21499200.0,ns,20988
hailstone_sequence_prealloc_686901248,,,,,22895500.0,ns,21942
hailstone_sequence_prealloc_686901248,,,,,24716500.0,ns,22896
hailstone_sequence_prealloc_686901248,,,,,24894100.0,ns,23850
hailstone_sequence_prealloc_686901248,,,,,26079200.0,ns,24804
hailstone_sequence_prealloc_686901248,,,,,26688200.0,ns,25758
hailstone_sequence_prealloc_686901248,,,,,27846000.0,ns,26712
hailstone_sequence_prealloc_686901248,,,,,28470300.0,ns,27666
hailstone_sequence_prealloc_686901248,,,,,29705500.0,ns,28620
hailstone_sequence_prealloc_686901248,,,,,31975500.0,ns,29574
hailstone_sequence_prealloc_686901248,,,,,32379900.0,ns,30528
hailstone_sequence_prealloc_686901248,,,,,32822000.0,ns,31482
hailstone_sequence_prealloc_686901248,,,,,33514300.0,ns,32436
hailstone_sequence_prealloc_686901248,,,,,34548700.0,ns,33390
hailstone_sequence_prealloc_686901248,,,,,36359200.0,ns,34344
hailstone_sequence_prealloc_686901248,,,,,36766700.0,ns,35298
hailstone_sequence_prealloc_686901248,,,,,37224800.0,ns,36252
hailstone_sequence_prealloc_686901248,,,,,38258800.0,ns,37206
hailstone_sequence_prealloc_686901248,,,,,38773700.0,ns,38160
hailstone_sequence_prealloc_686901248,,,,,40561600.0,ns,39114
hailstone_sequence_prealloc_686901248,,,,,43803600.0,ns,40068
hailstone_sequence_prealloc_686901248,,,,,41621500.0,ns,41022
hailstone_sequence_prealloc_686901248,,,,,44000600.0,ns,41976
hailstone_sequence_prealloc_686901248,,,,,44625200.0,ns,42930
hailstone_sequence_prealloc_686901248,,,,,44814300.0,ns,43884
hailstone_sequence_prealloc_686901248,,,,,45822800.0,ns,44838
hailstone_sequence_prealloc_686901248,,,,,46979900.0,ns,45792
hailstone_sequence_prealloc_686901248,,,,,48342900.0,ns,46746
hailstone_sequence_prealloc_686901248,,,,,50396600.0,ns,47700
hailstone_sequence_prealloc_686901248,,,,,49953800.0,ns,48654
hailstone_sequence_prealloc_686901248,,,,,50751000.0,ns,49608
hailstone_sequence_prealloc_686901248,,,,,51953000.0,ns,50562
hailstone_sequence_prealloc_686901248,,,,,53910300.0,ns,51516
hailstone_sequence_prealloc_686901248,,,,,54297100.0,ns,52470
hailstone_sequence_prealloc_686901248,,,,,55365900.0,ns,53424
hailstone_sequence_prealloc_686901248,,,,,56274000.0,ns,54378
hailstone_sequence_prealloc_686901248,,,,,56851000.0,ns,55332
hailstone_sequence_prealloc_686901248,,,,,57903800.0,ns,56286
hailstone_sequence_prealloc_686901248,,,,,59641400.0,ns,57240
hailstone_sequence_prealloc_686901248,,,,,61029400.0,ns,58194
hailstone_sequence_prealloc_686901248,,,,,62813200.0,ns,59148
hailstone_sequence_prealloc_686901248,,,,,63846900.0,ns,60102
hailstone_sequence_prealloc_686901248,,,,,62922300.0,ns,61056
hailstone_sequence_prealloc_686901248,,,,,64436400.0,ns,62010
hailstone_sequence_prealloc_686901248,,,,,65447000.0,ns,62964
hailstone_sequence_prealloc_686901248,,,,,66865700.0,ns,63918
hailstone_sequence_prealloc_686901248,,,,,67611200.0,ns,64872
hailstone_sequence_prealloc_686901248,,,,,68135700.0,ns,65826
hailstone_sequence_prealloc_686901248,,,,,68820900.0,ns,66780
hailstone_sequence_prealloc_686901248,,,,,70668700.0,ns,67734
hailstone_sequence_prealloc_686901248,,,,,71125400.0,ns,68688
hailstone_sequence_prealloc_686901248,,,,,72286300.0,ns,69642
hailstone_sequence_prealloc_686901248,,,,,73505500.0,ns,70596
hailstone_sequence_prealloc_686901248,,,,,74142800.0,ns,71550
hailstone_sequence_prealloc_686901248,,,,,75305000.0,ns,72504
hailstone_sequence_prealloc_686901248,,,,,76376900.0,ns,73458
hailstone_sequence_prealloc_686901248,,,,,77290000.0,ns,74412
hailstone_sequence_prealloc_686901248,,,,,79736100.0,ns,75366
hailstone_sequence_prealloc_686901248,,,,,79161700.0,ns,76320
hailstone_sequence_prealloc_686901248,,,,,79955100.0,ns,77274
hailstone_sequence_prealloc_686901248,,,,,82149500.0,ns,78228
hailstone_sequence_prealloc_686901248,,,,,85989800.0,ns,79182
hailstone_sequence_prealloc_686901248,,,,,84900000.0,ns,80136
hailstone_sequence_prealloc_686901248,,,,,83561300.0,ns,81090
hailstone_sequence_prealloc_686901248,,,,,83681600.0,ns,82044
hailstone_sequence_prealloc_686901248,,,,,84800400.0,ns,82998
hailstone_sequence_prealloc_686901248,,,,,85765900.0,ns,83952
hailstone_sequence_prealloc_686901248,,,,,87124300.0,ns,84906
hailstone_sequence_prealloc_686901248,,,,,88525500.0,ns,85860
hailstone_sequence_prealloc_686901248,,,,,90471900.0,ns,86814
hailstone_sequence_prealloc_686901248,,,,,91454200.0,ns,87768
hailstone_sequence_prealloc_686901248,,,,,91683100.0,ns,88722
hailstone_sequence_prealloc_686901248,,,,,92350700.0,ns,89676
hailstone_sequence_prealloc_686901248,,,,,93618700.0,ns,90630
hailstone_sequence_prealloc_686901248,,,,,93904600.0,ns,91584
hailstone_sequence_prealloc_686901248,,,,,95112900.0,ns,92538
hailstone_sequence_prealloc_686901248,,,,,95959300.0,ns,93492
hailstone_sequence_prealloc_686901248,,,,,97606600.0,ns,94446
hailstone_sequence_prealloc_686901248,,,,,98530800.0,ns,95400
